"VideoAnalysis: Time (s)","VideoAnalysis: X (cm)","VideoAnalysis: Y (cm)","VideoAnalysis: X Velocity (cm/s)","VideoAnalysis: Y Velocity (cm/s)"
0.66898522194,24.8550849709,9.54246999956,-26.9312284752,-231.194717008
0.675249128512,25.1081270195,8.12596078483,58.1779101556,-221.937593413
0.681513035085,25.8093648629,6.81733431524,112.8221662,-217.659090911
0.687776941657,26.6750581106,5.29952057154,142.933099943,-198.528350407
0.69404084823,27.5486452176,4.27463449264,174.144775694,-169.302288771
0.700304754802,28.8436767071,3.1901059205,204.42295999,-139.090226787
0.706568661374,30.2264177455,2.46606359433,217.78939076,-100.161688342
0.712832567947,31.6091587839,1.9867309096,223.481743862,-69.2631211831
0.719096474519,33.0046177069,1.66790669935,229.580554701,-47.0985334497
0.725360381092,34.5294482145,1.36355456466,229.559162188,-20.6223820588
0.731624287664,35.882806554,1.31882269473,228.314506915,18.3256041249
0.737888194237,37.362466644,1.61966644745,229.50470852,53.8955181061
0.744152100809,38.8285317538,2.05865273969,219.403553068,79.8679730661
0.750416007382,40.1253174343,2.64192123988,205.883485162,100.163633116
0.756679913954,41.4589411253,3.32780991227,184.973276571,116.604751366
0.762943820527,42.4110282786,4.14657855125,168.423250985,125.099523606
0.769207727099,43.4902942779,4.90263486277,163.314330043,130.336799623
0.775471633672,44.5173730955,5.8402499405,150.690802888,124.212706724
0.781735540244,45.3497367145,6.50026429597,143.302606977,112.680197707
0.787999446817,46.3233127073,7.27254687403,134.564738004,99.7766231166
0.794263353389,46.9679778917,7.58128448616,135.7704978,109.91861882
0.800527259962,48.0393500315,8.62941359551,134.601688708,123.030284214
0.806791166534,48.7046269599,9.30565421753,125.996064357,111.645578012
0.813055073106,49.6247001279,9.99899820158,116.272195035,102.413736477
0.819318979679,50.1684993311,10.5449901435,106.449142246,97.4837347304
0.825582886251,50.8657902448,11.2313173636,109.982796357,92.2911885123
0.831846792824,51.533259912,11.7159126213,115.08199343,85.9123302368
0.838110699396,52.387989466,12.2904101666,110.050863443,82.7695756718
0.844374605969,52.9331043124,12.7048377851,100.461183517,85.8753795334
0.850638512541,53.5821549743,13.3609052109,98.7283900037,89.4615425395
0.856902419114,54.2373453045,13.9204921329,88.2518931958,79.3312154795
0.863166325686,54.6601053302,14.3480761838,82.2639344671,69.7143087197
0.869430232259,55.2420581872,14.7756602347,79.6948881921,62.4214067279
0.875694138831,55.6604327354,15.0826436558,77.2094671933,63.0048388872
0.881958045404,56.2064246773,15.5637305315,75.4591707153,64.0239003922
0.888221951976,56.6432182309,15.8961497218,68.3665804316,63.5746576295
0.894485858549,57.0194921956,16.3912701254,66.5871123456,58.1215117136
0.900749765121,57.4988248804,16.6171222138,62.1977577335,52.7967208726
0.907013671693,57.8259814978,17.0604939835,54.4244965972,46.7329159632
0.913277578266,58.1167386524,17.2100387644,54.858181169,40.1129057286
0.919541484838,58.5530936581,17.5047428487,49.6850826895,41.1805865802
0.925805391411,58.7539485251,17.7577848972,42.6780624558,38.0475558845
0.932069297983,59.0806665948,18.0165280665,36.3419892054,31.1611116304
0.938333204556,59.203898511,18.1055532586,30.8071627871,28.7690397771
0.944597111128,59.4402757453,18.3476316136,29.2999630421,30.4804407778
0.950861017701,59.6007842197,18.5783077272,23.7845843625,20.476524019
0.957124924273,59.7231390405,18.5506792193,20.6978392848,17.5484724887
0.963388830846,59.8617201277,18.7739000212,17.0235780226,16.9905168669
0.969652737418,59.9248710029,18.8015285292,13.2828054943,10.8596172592
